Date,Oil,USD,Defense,SPY,USD_to_PKR,Oil_PKR,Sentiment Score,Oil Return,USD Return,Defense Return,SPY Return,Oil_PKR Return,USD_to_PKR Return,PKR_Move
23-01-15,48.79000092,95,52.30563736,171.1838989,100.5999985,4908.274018,-0.1,56%,81%,21%,-55%,51%,-5%,0
26-01-15,48.15999985,94.80000305,52.17129898,171.5847473,98.86100006,4761.145748,-0.1,-129%,-21%,-26%,23%,-300%,-173%,1
27-01-15,49.59999847,94.01999664,51.58924866,169.3214722,100.8000031,4999.679998,-0.1,299%,-82%,-112%,-132%,501%,196%,0
28-01-15,48.47000122,94.47000122,51.47730255,167.1500244,100.75,4883.352623,-0.1,-228%,48%,-22%,-128%,-233%,-5%,1
29-01-15,49.13000107,94.77999878,52.01012039,168.6950531,100.8000031,4952.304258,-0.1,136%,33%,104%,92%,141%,5%,1
30-01-15,52.99000168,94.80000305,51.2265625,166.5737457,100.9000015,5346.69125,-0.1,786%,2%,-151%,-126%,796%,10%,1
02-02-15,54.75,94.5,51.97877502,168.6365814,100.9499969,5527.012333,-0.1,332%,-32%,147%,124%,337%,5%,1
03-02-15,57.90999985,93.59999847,52.83397293,171.0752869,101.3499985,5869.178396,-0.1,577%,-95%,165%,145%,619%,40%,0
04-02-15,54.15999985,93.98999786,52.60114288,170.4238739,100.8000031,5459.32815,-0.1,-648%,42%,-44%,-38%,-698%,-54%,1
05-02-15,56.56999969,94.69999695,53.01754761,172.1443329,101,5713.569969,-0.1,445%,76%,79%,101%,466%,20%,0
06-02-15,57.79999924,94.69999695,53.50559616,171.6682434,100.8499985,5829.129835,-0.1,217%,0%,92%,-28%,202%,-15%,1
09-02-15,58.34000015,94.44999695,53.11605072,170.8999176,101,5892.340015,-0.1,93%,-26%,-73%,-45%,108%,15%,0
10-02-15,56.43000031,94.76000214,53.41603088,172.7205353,100.9000015,5693.787117,-0.1,-327%,33%,56%,107%,-337%,-10%,1
11-02-15,54.65999985,94.98999786,53.36678314,172.8207703,100.9499969,5517.926818,-0.1,-314%,24%,-9%,6%,-309%,5%,0
12-02-15,57.04999924,94.08999634,53.83691025,174.4827576,99.90599823,5699.637123,-0.1,437%,-95%,88%,96%,329%,-103%,1
13-02-15,57.38999939,94.19999695,54.2085495,175.200943,101.0999985,5802.128851,-0.1,60%,12%,69%,41%,180%,120%,0
17-02-15,62.52999878,94.05999756,54.1100502,175.4766083,100.0199966,6254.250268,-0.1,896%,-15%,-18%,16%,779%,-107%,1
18-02-15,60.52999878,94.19999695,54.55330276,175.4933319,101.5,6143.794876,-0.1,-320%,15%,82%,1%,-177%,148%,0
19-02-15,60.20999908,94.40000153,55.24284744,175.3680115,101.3000031,6099.273091,-0.1,-53%,21%,126%,-7%,-72%,-20%,1
20-02-15,60.22000122,94.25,55.90102768,176.4204102,101.5,6112.330124,-0.1,2%,-16%,119%,60%,21%,20%,1
23-02-15,58.90000153,94.56999969,55.76670837,176.3953552,101.5500031,5981.295335,-0.1,-219%,34%,-24%,-1%,-214%,5%,0
24-02-15,58.65999985,94.48999786,55.87863922,176.8963776,101.5,5953.989985,-0.1,-41%,-8%,20%,28%,-46%,-5%,1
25-02-15,61.63000107,94.20999908,55.46670532,176.7460938,101.5999985,6261.608014,-0.1,506%,-30%,-74%,-8%,517%,10%,1
26-02-15,60.04999924,95.29000092,55.25627899,176.537262,101.6500015,6104.082514,-0.1,-256%,115%,-38%,-12%,-252%,5%,1
27-02-15,62.58000183,95.25,55.22045517,175.9359436,101.8499985,6373.773091,-0.1,421%,-4%,-6%,-34%,442%,20%,0
02-03-15,59.54000092,95.45999908,55.95029831,177.0467529,101.6999969,6055.217911,-0.1,-486%,22%,132%,63%,-500%,-15%,1
03-03-15,61.02000046,95.37999725,55.47566986,176.3201294,101.75,6208.785047,-0.1,249%,-8%,-85%,-41%,254%,5%,1
04-03-15,60.54999924,95.97000122,55.24284744,175.5768585,101.8000031,6163.990107,-0.1,-77%,62%,-42%,-42%,-72%,5%,0
05-03-15,60.47999954,96.37999725,55.32791138,175.7689362,101.75,6153.839953,-0.1,-12%,43%,15%,11%,-16%,-5%,0
06-03-15,59.72999954,97.62000275,54.69211578,173.2967682,101.6999969,6074.540771,-0.1,-124%,129%,-115%,-141%,-129%,-5%,1
09-03-15,58.52999878,97.58999634,55.18911743,174.0151062,101.75,5955.427376,-0.1,-201%,-3%,91%,41%,-196%,5%,1
10-03-15,56.38999939,98.62000275,54.31153488,171.192215,101.8000031,5740.50211,-0.1,-366%,106%,-159%,-162%,-361%,5%,1
11-03-15,57.54000092,99.80000305,54.48615646,170.7913055,101.8300018,5859.298399,-0.1,204%,120%,32%,-23%,207%,3%,0
12-03-15,57.08000183,99.15000153,55.16671753,172.9627075,101.8000031,5810.744361,-0.1,-80%,-65%,125%,127%,-83%,-3%,0
13-03-15,54.66999817,100.3300018,54.69660187,171.9021149,101.6999969,5559.938647,-0.1,-422%,119%,-85%,-61%,-432%,-10%,0
16-03-15,53.43999863,99.59999847,55.35478592,174.1988373,101.6999969,5434.847697,-0.1,-225%,-73%,120%,134%,-225%,0%,0
17-03-15,53.43000031,99.58999634,55.35478592,173.681015,101.6999969,5433.830868,-0.1,-2%,-1%,0%,-30%,-2%,0%,1
