Date,Close,High,Low,Open,Volume,Return
02-01-15,56.41999817,58.22000122,55.52000046,57.63000107,16707,Null
05-01-15,53.11000061,56.29000092,52.66999817,56.29000092,30065,-5.87%
06-01-15,51.09999847,53.52000046,50.52999878,53.22999954,35494,-3.78%
07-01-15,51.15000153,51.84000015,49.68000031,51.06000137,37082,0.10%
08-01-15,50.95999908,51.88999939,49.81999969,51,29469,-0.37%
09-01-15,50.11000061,51.56000137,48.90000153,51.25,48123,-1.67%
12-01-15,47.43000031,49.88999939,47.16999817,49.88999939,29297,-5.35%
13-01-15,46.59000015,47.27000046,45.22999954,47.27000046,33516,-1.77%
14-01-15,48.68999863,49.06999969,45.63999939,46.84999847,17863,4.51%
15-01-15,47.66999817,50.33000183,46.93000031,48.25,2088,-2.09%
16-01-15,47.68999863,47.68999863,47.68999863,47.68999863,29134,0.04%
20-01-15,47.99000168,50.31999969,47.79999924,50.20000076,33926,0.63%
21-01-15,49.02999878,49.59000015,48.20000076,48.25999832,28618,2.17%
22-01-15,48.52000046,50.43999863,47.52000046,48.77000046,33790,-1.04%
23-01-15,48.79000092,50.09999847,48.58000183,49.18000031,29460,0.56%
26-01-15,48.15999985,49.27000046,47.59999847,48.70999908,25814,-1.29%
27-01-15,49.59999847,49.97999954,47.68999863,48.27999878,25318,2.99%
28-01-15,48.47000122,49.70999908,48.31999969,48.93999863,29379,-2.28%
29-01-15,49.13000107,49.27000046,48.40000153,48.61000061,26641,1.36%
30-01-15,52.99000168,53.06000137,48.79999924,49.11999893,35139,7.86%
02-02-15,54.75,55.70000076,51.40999985,52.65999985,43658,3.32%
03-02-15,57.90999985,58.99000168,54.84999847,55.04999924,55610,5.77%
04-02-15,54.15999985,58.04999924,53.5,57,42937,-6.48%
05-02-15,56.56999969,57.84999847,52.95000076,54.84999847,48325,4.45%
06-02-15,57.79999924,59.02999878,56.79000092,57.34999847,38508,2.17%
09-02-15,58.34000015,59.56000137,57.34999847,58.56000137,35734,0.93%
10-02-15,56.43000031,58.54000092,56.09999847,58.00999832,23490,-3.27%
11-02-15,54.65999985,56.95999908,53.95000076,56.88000107,25029,-3.14%
12-02-15,57.04999924,57.38999939,55,55.09000015,961,4.37%
13-02-15,57.38999939,57.38999939,57.38999939,57.38999939,36448,0.60%
17-02-15,62.52999878,63.02999878,60.27999878,61.77999878,40754,8.96%
18-02-15,60.52999878,62.38999939,59.25999832,62.20000076,24334,-3.20%
19-02-15,60.20999908,60.97000122,57.79999924,59.25999832,39699,-0.53%
20-02-15,60.22000122,61.13000107,59.88999939,60.09999847,33712,0.02%
23-02-15,58.90000153,60.63999939,58.38000107,60.09999847,42658,-2.19%
24-02-15,58.65999985,60.31000137,58.11999893,59.09000015,37567,-0.41%
25-02-15,61.63000107,62.13000107,58.40999985,58.70000076,34789,5.06%
26-02-15,60.04999924,62.63000107,59.65000153,62.47000122,31062,-2.56%
27-02-15,62.58000183,62.81000137,60.70000076,60.79999924,30548,4.21%
02-03-15,59.54000092,62.40000153,59.36000061,62.25,36182,-4.86%
03-03-15,61.02000046,61.81000137,59.86999893,60,35924,2.49%
04-03-15,60.54999924,60.90999985,59.49000168,60.70999908,29920,-0.77%
05-03-15,60.47999954,61.54999924,60.08000183,60.47999954,29245,-0.12%
06-03-15,59.72999954,61.20000076,59.18000031,61.02999878,22107,-1.24%
09-03-15,58.52999878,60.02999878,58.40000153,59.72999954,21968,-2.01%
